0.015,0.677,0.001,0,0,0.285,0.022,0
0.059,0.115,0.002,0,0,0.601,0.222,0
0,0.015,0,0,0,0.485,0.499,0
0,0.95,0.001,0,0.002,0.041,0.006,0
0,0.996,0,0,0,0.001,0.003,0
0.049,0.614,0.007,0,0.001,0.118,0.211,0
0.099,0.145,0.009,0,0,0.404,0.343,0
0.018,0.011,0.035,0.001,0,0.683,0.25,0.001
0,0.674,0.001,0,0.003,0.255,0.068,0
0.001,0.361,0.001,0,0,0.116,0.52,0
0,0,0,0,0,0.984,0.003,0.011
0.001,0.008,0,0,0,0.923,0.068,0
0,0.005,0,0,0,0.027,0.968,0
0,0.021,0,0,0,0.123,0.856,0
0.002,0.162,0.004,0,0.005,0.433,0.395,0
0,0.618,0,0,0.026,0.355,0,0
0,0.487,0,0,0.182,0.324,0.007,0
0,0.402,0,0,0.082,0.489,0.026,0
0,0,0,0,0,0.997,0.003,0
0,0,0,0,0,0.992,0.008,0
0,0.001,0,0,0.006,0.992,0.001,0
0,0.001,0,0,0.091,0.908,0,0
0,0,0,0,0.03,0.969,0,0
0,0.001,0,0,0.06,0.939,0,0
0.002,0.347,0.046,0,0.278,0.268,0.06,0
0.004,0.497,0.006,0,0,0.324,0.169,0
0.001,0.11,0.001,0,0,0.52,0.367,0
0,0.062,0,0,0,0.187,0.75,0
0.012,0.05,0.022,0,0,0.105,0.81,0
0.004,0.102,0.016,0,0,0.097,0.781,0
0,0.998,0,0,0,0.001,0.001,0
0.007,0.821,0.005,0,0,0.088,0.079,0
0.012,0.816,0.006,0,0,0.15,0.015,0
0.003,0.024,0.001,0,0,0.446,0.526,0
0.037,0.13,0.007,0.001,0,0.415,0.41,0
0.065,0.059,0.015,0,0,0.579,0.282,0
0,0.998,0,0,0,0.001,0,0
0,0.992,0,0,0,0.005,0.003,0
0.005,0.866,0.001,0,0,0.1,0.028,0
0.009,0.025,0.001,0,0,0.949,0.015,0
0.005,0.291,0.004,0,0.011,0.662,0.027,0
0.001,0.008,0.006,0.001,0,0.392,0.592,0
0.031,0.153,0.048,0.002,0.002,0.592,0.171,0.001
0.005,0.186,0.002,0,0.001,0.593,0.213,0
0.024,0.359,0.008,0,0.001,0.474,0.132,0
0,0.994,0,0,0,0.003,0.002,0
0,0.017,0,0,0,0.047,0.935,0
0.001,0.04,0.001,0,0,0.352,0.605,0
0,0.013,0,0,0,0.248,0.739,0
0,0.047,0.001,0,0,0.216,0.735,0
