0,0,0,0,0.797,0.202,0,0
0,0.001,0,0,0.937,0.061,0,0
0,0,0,0,0.879,0.12,0,0
0,0.001,0,0,0.369,0.628,0,0.001
0,0,0,0,0.977,0.022,0,0
0,0.004,0,0,0.976,0.02,0,0
0,0,0,0,0.982,0.018,0,0
0,0,0,0,0.992,0.007,0.001,0
0,0.002,0,0,0.764,0.233,0,0
0,0.005,0.002,0,0.418,0.574,0,0.001
0,0.001,0,0,0.84,0.159,0,0
0,0.004,0.001,0,0.507,0.486,0.001,0.001
0,0.005,0.004,0,0.417,0.568,0.002,0.003
0,0.043,0.003,0,0.705,0.246,0.003,0
0,0.013,0,0,0.945,0.041,0,0
0,0.003,0,0,0.562,0.434,0.001,0
0,0.056,0.007,0,0.62,0.312,0.004,0
0,0,0,0,0.997,0.002,0,0
0.001,0.02,0.113,0,0.065,0.771,0.025,0.005
0.001,0.006,0.042,0,0.25,0.688,0.005,0.007
0,0.003,0,0,0.732,0.262,0,0.002
0,0.003,0,0,0.753,0.244,0,0
0,0.002,0.001,0,0.52,0.475,0.001,0.001
0,0.001,0,0,0,0.972,0.005,0.022
0.001,0.008,0.044,0,0.575,0.331,0.036,0.005
0.001,0.009,0.041,0,0.273,0.667,0.005,0.004
0,0.002,0,0,0.865,0.128,0,0.004
0,0,0,0,0.98,0.02,0,0
0,0,0,0,0.874,0.126,0,0
0,0,0,0,0.993,0.006,0,0
0,0.001,0,0,0.014,0.982,0.002,0
0,0,0,0,0.999,0.001,0,0
0,0,0,0,0.985,0.015,0,0
0,0,0,0,0.937,0.062,0,0
0,0.001,0,0,0.088,0.91,0,0
0,0,0,0,0.715,0.285,0,0
0,0.006,0,0,0.341,0.651,0.002,0
0,0.001,0,0,0.908,0.09,0,0
0,0.003,0.002,0,0.487,0.501,0.001,0.006
0,0.005,0,0,0.982,0.012,0,0
0,0.005,0,0,0.992,0.002,0,0
0,0.005,0,0,0.954,0.041,0,0
0,0,0,0,0.992,0.008,0,0
0,0,0,0,0.967,0.033,0,0
0,0,0,0,0.998,0.001,0,0
0,0,0,0,0.999,0,0,0
0,0.004,0.001,0,0.961,0.033,0.001,0
0,0.005,0.001,0,0.99,0.004,0,0
0,0,0,0,0.999,0.001,0,0
0,0.003,0.003,0,0.95,0.035,0,0.009
